authors,name,price,publisher,rating,tags
猗兰霓裳,离凰（全三册）,￥29.99,万有图书有限公司,8.8,"古风,后宫,古言,爱情,宫斗"
,K均交易法2：三级别联立操作股票期货,￥188.00,,8.6,
李浩白,司马懿吃三国（套装共5册）,￥40.00,上海读客图书有限公司,8.2,"司马懿,三国,曹操"
常书欣,余罪：我的刑侦笔记1-8,￥154.22,上海读客图书有限公司,9.7,
龙应台,龙应台“人生三书”：孩子，你慢慢来+亲爱的安德烈+目送,￥42.00,北京理想国时代文化有限责任公司,9,"生活,成长,教育,育儿"
流潋紫,后宫·如懿传（全六册）,￥39.00,北京磨铁数盟信息技术有限公司,9.3,
白先勇,孽子,￥17.99,理想国,9.7,"小说,同性,文学,同性恋,台湾文学,同志,现当代文学,台湾,中国当代,青春,港台文学,当代文学,中国文学,救赎,严肃小说,理想国"
御定六壬（天下霸唱授权）,鬼吹灯合集（天下霸唱授权，御定六壬改编，5册套装）,￥61.99,北京新华先锋出版科技有限公司,7.5,"小说,悬疑,盗墓,文学"
金庸,鹿鼎记（新修版）（一）,￥16.00,首尚文化,10,
公子凉夜,我和我的猫都想你了,￥7.99,长沙大鱼文化传媒有限公司,9.4,"言情,爱情,甜宠,暖萌,青春,治愈"
乔治·R·R·马丁,冰与火之歌（全1-15册）,￥285.36,重庆出版集团图书发行有限公司,7.2,
匪我思存,东宫,￥8.99,北京记忆坊文化信息咨询有限公司,9.6,
尹建莉,好妈妈胜过好老师2：自由的孩子最自觉,￥24.90,上海读客图书有限公司,9.6,"教育,家庭,育儿,实用,实操,孩子,案例"
金庸,射雕英雄传（新修版）（二）,￥16.00,首尚文化,10,
,Android Studio实用指南,￥79.99,,8.3,
法医秦明,守夜者：罪案终结者的觉醒,19.99,北京磨铁图书,8.2,"小说,文学,悬疑,人物,随笔,爱情"
阿锁,有种后宫叫德妃（全七册）,￥68.88,北京磨铁数盟信息技术有限公司,9.7,"后宫,小说,清穿,宫斗,穿越,皇后,红楼"
苏格兰折耳猫,此致，爱情,￥8.99,成都万有图书有限公司,9.3,"小说,文学,爱情,婚姻,青春,生活"
安宁,温暖的弦,￥20.00,上海读客图书有限公司,8.9,"青春,言情,经典,五十大,补充能量,虐心,影视同期书,情感,好看,男神,小说,经典言情,初恋"
M·尼尔·布朗,批判性思维套装共6册（如何高效学习+学会提问+专注力:化繁为简的惊人力量+思考的艺术(原书第10版)+批判性思维工具(原书第3版)+逻辑思维简易入门）,￥96.00,北京华章图文信息有限公司,2,"心理学,思维"
法医秦明,法医秦明作品集（套装共5册）,￥35.99,中南博集天卷文化传媒有限公司,9.5,"小说,惊悚,犯罪,法医,悬疑推理,禁案,刺激,变态杀人,雷米,姜振宇,天涯,尸语者,莲蓬,CSI,重口味,姬十三"
今何在,悟空传（典藏纪念版）,￥15.99,北京磨铁图书,8.8,
阿耐,艰难的制造,￥35.00,上海读客图书有限公司,9.3,"欢乐颂,实体经济,金融危机"
度阴山,曾国藩：又笨又慢平天下,￥21.00,上海读客图书有限公司,9.3,"李鸿章,左宗棠,成吉思汗,刘伯温,王阳明,知行合一,慈禧,湘军,淮军,太平天国,洪秀全,曾国藩家书,毛泽东,冰鉴,历史,传记,智慧,曾国藩"
爱默丁,女捕头：全三册,￥22.50,北京磨铁数盟信息技术有限公司,9.7,"女捕头,警花,上司,悬疑推理,青楼,天子,断案,逗比,爱情,穿越,搅基,小说,推理"
古龙,古龙文集·七种武器(套装共4册),￥24.00,上海读客图书有限公司,9.4,"武侠,小说,武侠小说,七种武器,长生剑,孔雀翎"
,结婚五年：非常规出轨,￥8.00,,8.8,
古龙,古龙文集·绝代双骄（套装共4册）,￥24.00,上海读客图书有限公司,9.8,"武侠,小说,花无缺,武侠小说,金庸,古龙文集,小鱼儿"
雷米,心理罪之画像,￥9.99,北京华章同人文化传播有限公司,9.5,"小说,逻辑,恐怖,深夜读物,现代,侦探,悬疑,推理"
无处可逃,一念心动，一生绵延,￥5.96,北京白马时光文化发展有限公司,9.1,"暖心,言情,现代都市,青春,爱情,小说"
匪我思存,爱你是最好的时光2,￥6.99,北京记忆坊文化信息咨询有限公司,9.3,"言情,匪大,现代都市,青春,爱情,虐恋,小说"
顾西爵,对的时间对的人,￥10.00,北京中作华文数字传媒股份有限公司,9.1,"言情,网游"
梁文道,梁文道作品：味道,￥30.97,北京理想国时代文化有限责任公司,9,"文学,小说,生活,随笔,文化"
老舍,老舍京味儿代表作系列丛书（套装共五册）,￥49.99,北京明天远航文化传播有限公司,,"茶馆,四世同堂,京味儿"
唐七公子,三生三世枕上书·终篇,￥9.90,北京中联百文文化传媒有限公司,9.6,
唐七公子,三生三世十里桃花,￥9.90,北京中联百文文化传媒有限公司,8.7,
麦九,我终于失去了你2,￥6.00,长沙大鱼文化传媒有限公司,9.7,"青春疼痛,言情,虐恋情深,守候"
锦竹,如若有你，一生何求,￥1.99,杭州创策科技有限公司,9.4,"言情,青春,虐恋,温情,青梅竹马,爱情,小说,文学"
王晓磊,武则天：从三岁到八十二岁1,￥18.00,上海读客图书有限公司,6.5,"女皇,权斗,唐高宗,武则天,历史,李世民,御园驯马,长孙皇后,李承乾,李治,李世勣,武士彟,小说"
,快速赚钱的商业秘密,￥28.00,,7.5,
岳勇,诡案罪（5-8册套装）,￥48.99,北京新华先锋出版科技有限公司,9.2,"小说,悬疑,文学,爱情"
麦九,我终于失去了你3：他睡在风里,￥7.99,长沙大鱼文化传媒有限公司,9.7,"青春言情,青春文学,青春疼痛,少年"
刘慈欣,三体（全3册）,￥18.00,广州市久邦数码科技有限公司,9.7,"科幻,中国科幻,中国,经典,科幻小说,小说,三体"
老舍,四世同堂：全二册,￥18.98,天津博集新媒科技有限公司,10,
,Jerry Ma谈期货交易之道,￥28.60,,9.3,
唐七公子,三生三世枕上书·上篇,￥9.90,北京中联百文文化传媒有限公司,9.4,
雷米,心理罪之第七个读者,￥9.99,北京华章同人文化传播有限公司,9.7,"悬疑,推理,犯罪心理学,小说,心理罪,犯罪,中国"
